ID_Jogo,Data,Fase,Grupo,Equipe_Mandante,Equipe_Visitante,Resultado,Chutes_Art,Chutes_Cu,Chutes_Feto,Chutes_MC,Chutes_HC
1,2026-06-11,Fase de Grupos - Rodada 1,A,México,África do Sul,2x0,,,,,
2,2026-06-11,Fase de Grupos - Rodada 1,A,Coréia do Sul,Tchéquia,2x1,,,,,
3,2026-06-12,Fase de Grupos - Rodada 1,B,Canadá,Bósnia e Herzegovina,1x1,,,,,
4,2026-06-12,Fase de Grupos - Rodada 1,D,EUA,Paraguai,4x1,,,,,
5,2026-06-13,Fase de Grupos - Rodada 1,C,Haiti,Escócia,0x1,,,,,
6,2026-06-14,Fase de Grupos - Rodada 1,D,Austrália,Turquia,2x0,,,,,
7,2026-06-13,Fase de Grupos - Rodada 1,C,Brasil,Marrocos,1x1,,,,,
8,2026-06-13,Fase de Grupos - Rodada 1,B,Catar,Suíça,1x1,,,,,
9,2026-06-14,Fase de Grupos - Rodada 1,E,Costa do Marfim,Equador,1x0,1x2,1x1,1x0,2x1,1x2
10,2026-06-14,Fase de Grupos - Rodada 1,E,Alemanha,Curação,7x1,,,,,
11,2026-06-14,Fase de Grupos - Rodada 1,F,Holanda,Japão,2x2,2x3,2x1,1x2,3x2,2x2
12,2026-06-14,Fase de Grupos - Rodada 1,F,Suécia,Tunísia,5x1,2x0,2x1,3x0,2x0,1x0
13,2026-06-15,Fase de Grupos - Rodada 1,H,Arábia Saudita,Uruguai,,,,,,
14,2026-06-15,Fase de Grupos - Rodada 1,H,Espanha,Cabo Verde,0x0,5x0,3x0,4x1,4x0,4x0
15,2026-06-15,Fase de Grupos - Rodada 1,G,Irã,Nova Zelândia,,,,,,
16,2026-06-15,Fase de Grupos - Rodada 1,G,Bélgica,Egito,,,2x1,2x1,1x0,2x1
17,2026-06-16,Fase de Grupos - Rodada 1,I,França,Senegal,,,,,,
18,2026-06-16,Fase de Grupos - Rodada 1,I,Iraque,Noruega,,,,,,
19,2026-06-16,Fase de Grupos - Rodada 1,J,Argentina,Argélia,,,,,,
20,2026-06-16,Fase de Grupos - Rodada 1,J,Áustria,Jordânia,,,,,,
21,2026-06-17,Fase de Grupos - Rodada 1,L,Gana,Panamá,,,,,,
22,2026-06-17,Fase de Grupos - Rodada 1,L,Inglaterra,Croácia,,,,,,
23,2026-06-17,Fase de Grupos - Rodada 1,K,Portugal,RD Congo,,,,,,
24,2026-06-17,Fase de Grupos - Rodada 1,K,Uzbequistão,Colômbia,,,,,,
25,2026-06-18,Fase de Grupos - Rodada 2,A,Tchéquia,África do Sul,,,,,,
26,2026-06-18,Fase de Grupos - Rodada 2,B,Suíça,Bósnia e Herzegovina,,,,,,
27,2026-06-18,Fase de Grupos - Rodada 2,B,Canadá,Catar,,,,,,
28,2026-06-18,Fase de Grupos - Rodada 2,A,México,Coréia do Sul,,,,,,
29,2026-06-19,Fase de Grupos - Rodada 2,C,Brasil,Haiti,,,,,,
30,2026-06-19,Fase de Grupos - Rodada 2,C,Escócia,Marrocos,,,,,,
31,2026-06-19,Fase de Grupos - Rodada 2,D,EUA,Austrália,,,,,,
32,2026-06-19,Fase de Grupos - Rodada 2,D,Turquia,Paraguai,,,,,,
33,2026-06-20,Fase de Grupos - Rodada 2,E,Alemanha,Costa do Marfim,,,,,,
34,2026-06-20,Fase de Grupos - Rodada 2,E,Equador,Curação,,,,,,
35,2026-06-20,Fase de Grupos - Rodada 2,F,Holanda,Suécia,,,,,,
36,2026-06-21,Fase de Grupos - Rodada 2,F,Tunísia,Japão,,,,,,
37,2026-06-21,Fase de Grupos - Rodada 2,G,Bélgica,Irã,,,,,,
38,2026-06-21,Fase de Grupos - Rodada 2,G,Nova Zelândia,Egito,,,,,,
39,2026-06-21,Fase de Grupos - Rodada 2,H,Espanha,Arábia Saudita,,,,,,
40,2026-06-21,Fase de Grupos - Rodada 2,H,Uruguai,Cabo Verde,,,,,,
41,2026-06-22,Fase de Grupos - Rodada 2,I,França,Iraque,,,,,,
42,2026-06-22,Fase de Grupos - Rodada 2,I,Noruega,Senegal,,,,,,
